school_id,school_name,address,city,phone,email,director_name
1,99th Primary School of Athens,"Igeias 13, Athens 104 46
",Athens,2109876435,vcummings@hotmail.com,Dr. Randi Jacobs III
2,Arsakeio School in Psychiko,"Arsaki 1, Psichiko 154 52
Arsaki 1, Psichiko 154 52",Psichiko,2106794358,samson.nicolas@hotmail.com,Dr. Cullen Frami
3,7th Primary School Glyfada,"Tempon 37, Glifada 165 62
",Glifada,2107885934,snitzsche@yahoo.com,Brandon Carter V
4,Piraeus Open School for the Immigrants,"Ag. Anargiron 1, Pireas 185 42
",Pireas,2119764358,bergstrom.destini@watsicagoyette.com,Christophe Lindgren
5,Model Lyceum of Anavryta,"Leof. Kifisias 184, Marousi 145 62
",Marousi,2104998685,pbarrows@hotmail.com,Delpha Kub
6,Arsakeia - Tositseia Schools Ekali,"Leof. Marathonos 1, Anixi 145 69",Anixi,2109558637,yost.lukas@gmail.com,Jerome Watsica II
7,5th Middle High School of Marousi,"Efkalipton 39, Marousi 151 26",Marousi,2108965743,lueilwitz.anahi@hotmail.com,Hailey Bogisich
8,2nd Experimental High School,"Kleanthous 30, Thessaloniki 544 53",Thessaloniki,2106846846,cyrus73@mosciski.net,Juanita Kuphal
9,Music School,"Panagioti Elli 6, Komotini 691 31
",Komotini,2104788856,mheathcote@gmail.com,Candelario McClure
10,Marasleio School,"Marasli 4, Athens 106 76
",Athens,2105717359,weimann.javier@gmail.com,Arjun Kunze III
